time, Quad1.Est.S.Yaw, Quad1.Est.Yaw, Quad1.Yaw, Quad1.Ref.Yaw
1.124997,0.050000,0.000000,2.487439,-2.753046
1.129997,0.050000,0.000000,2.503042,-2.740460
1.134997,0.050000,0.000000,2.518645,-2.721581
1.139997,0.050000,0.000000,2.534248,-2.708995
1.144997,0.050000,0.000000,2.549851,-2.690116
1.149998,0.050000,0.000000,2.565455,-2.677530
1.154998,0.050000,0.000000,2.581061,-2.658651
1.159998,0.050000,0.000000,2.596672,-2.646065
1.164998,0.050000,0.000000,2.612288,-2.627186
1.169999,0.050000,0.000000,2.627905,-2.614599
1.174999,0.050000,0.000000,2.643520,-2.595721
1.179999,0.050000,0.000000,2.659133,-2.583134
1.184999,0.050000,0.000000,2.674745,-2.564255
1.190000,0.050000,0.000000,2.690359,-2.551669
1.195000,0.050000,0.000000,2.705978,-2.532790
1.200000,0.050000,0.000000,2.721608,-2.520204
1.205000,0.050000,0.000000,2.737247,-2.501325
1.210001,0.050000,0.000000,2.752895,-2.488739
1.215001,0.050000,0.000000,2.768550,-2.469860
1.220001,0.050000,0.000000,2.784209,-2.457274
1.225001,0.050000,0.000000,2.799877,-2.438395
1.230001,0.050000,0.000000,2.815550,-2.425809
1.235002,0.050000,0.000000,2.831222,-2.406929
1.240002,0.050000,0.000000,2.846889,-2.394343
1.245002,0.050000,0.000000,2.862547,-2.375464
1.250002,0.050000,0.000000,2.878203,-2.362878
1.255003,0.050000,0.000000,2.893856,-2.343999
1.260003,0.050000,0.000000,2.909504,-2.331413
1.265003,0.050000,0.000000,2.925150,-2.312534
1.270003,0.050000,0.000000,2.940794,-2.299948
1.275004,0.050000,0.000000,2.956437,-2.281069
1.280004,0.050000,0.000000,2.972080,-2.268483
1.285004,0.050000,0.000000,2.987725,-2.249604
1.290004,0.050000,0.000000,3.003370,-2.237018
1.295004,0.050000,0.000000,3.019021,-2.218138
1.300005,0.050000,0.000000,3.034682,-2.205552
1.305005,0.050000,0.000000,3.050353,-2.186673
1.310005,0.050000,0.000000,3.066025,-2.174087
1.315005,0.050000,0.000000,3.081693,-2.155208
1.320006,0.050000,0.000000,3.097358,-2.142622
1.325006,0.050000,0.000000,3.113023,-2.123743
1.330006,0.050000,0.000000,3.128687,-2.111157
1.335006,0.050000,0.000000,-3.138833,-2.092278
1.340007,0.050000,0.000000,-3.123164,-2.079692
1.345007,0.050000,0.000000,-3.107490,-2.060812
1.350007,0.050000,0.000000,-3.091814,-2.048227
1.355007,0.050000,0.000000,-3.076142,-2.029347
1.360008,0.050000,0.000000,-3.060469,-2.016761
1.365008,0.050000,0.000000,-3.044790,-1.997882
1.370008,0.050000,0.000000,-3.029099,-1.985296
1.375008,0.050000,0.000000,-3.013397,-1.966417
1.380008,0.050000,0.000000,-2.997686,-1.953831
1.385009,0.050000,0.000000,-2.981964,-1.934952
1.390009,0.050000,0.000000,-2.966237,-1.922366
1.395009,0.050000,0.000000,-2.950502,-1.903487
1.400009,0.050000,0.000000,-2.934761,-1.890901
1.405010,0.050000,0.000000,-2.919017,-1.872022
1.410010,0.050000,0.000000,-2.903271,-1.859435
1.415010,0.050000,0.000000,-2.887530,-1.840556
1.420010,0.050000,0.000000,-2.871791,-1.827970
1.425011,0.050000,0.000000,-2.856054,-1.809091
1.430011,0.050000,0.000000,-2.840318,-1.796505
1.435011,0.050000,0.000000,-2.824584,-1.777626
1.440011,0.050000,0.000000,-2.808853,-1.765040
1.445011,0.050000,0.000000,-2.793123,-1.746161
1.450012,0.050000,0.000000,-2.777389,-1.733575
1.455012,0.050000,0.000000,-2.761647,-1.714696
1.460012,0.050000,0.000000,-2.745898,-1.702110
1.465012,0.050000,0.000000,-2.730143,-1.683231
1.470013,0.050000,0.000000,-2.714385,-1.670644
1.475013,0.050000,0.000000,-2.698627,-1.651765
1.480013,0.050000,0.000000,-2.682875,-1.639179
1.485013,0.050000,0.000000,-2.667130,-1.620300
1.490014,0.050000,0.000000,-2.651396,-1.607714
1.495014,0.050000,0.000000,-2.635669,-1.588835
1.500014,0.050000,0.000000,-2.619942,-1.576249
1.505014,0.050000,0.000000,-2.604209,-1.557395
1.510015,0.050000,0.000000,-2.588464,-1.544835
1.515015,0.050000,0.000000,-2.572708,-1.525994
1.520015,0.050000,0.000000,-2.556944,-1.513433
